personid,fk_test,answers_id,gender,age,residence,education,SIknowledge,result_id,quizSI1,quizSI2,quizSI3,quizSI4,quizSI5,quizSI6,answers_id,have_met,SIvsSystemy,feelings,EasyToFind,EasyToFindExample1,EasyToFindExample2,EasyToFindExample3,EasyToFindExample4,EasyToFindExample5,EasyToFindExample6,are_useful,fear,endangered,linkMonitoring1,linkMonitoring2,linkMonitoring3,linkMonitoring4,linkMonitoring5,linkMonitoring6,is_good,is_affecting,would_you_accept,is_helping,emotional_disorders
65,65,65,male,1,500k+,2,TRUE,65,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,65,TRUE,FALSE,Neutr,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,IDK,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
66,66,66,female,1,500k+,4,TRUE,66,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,66,FALSE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,IDK,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,IDK,2
67,67,67,male,1,100-500k,4,TRUE,67,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,67,TRUE,TRUE,Neutr,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3
68,68,68,female,1,0,4,TRUE,68,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,68,TRUE,TRUE,Pozyt,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,3
69,69,69,female,1,500k+,2,FALSE,69,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,69,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,2
70,70,70,female,1,0,2,TRUE,70,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,70,FALSE,TRUE,Pozyt,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3
71,71,71,female,0,0,0,TRUE,71,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,71,TRUE,TRUE,Neutr,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,1
72,72,72,male,1,500k+,2,TRUE,72,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,72,TRUE,TRUE,Negat,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,IDK,1
73,73,73,male,1,500k+,4,TRUE,73,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,73,TRUE,TRUE,Negat,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0
74,74,74,male,1,500k+,4,TRUE,74,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,74,TRUE,TRUE,Negat,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,0
